,기준년도,사용본거지시읍면동_행정동기준,차명,연료
88530,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88531,2022,서울특별시 강남구 대치동,EV6,전기
88532,2022,서울특별시 강남구 대치동,EV6,전기
88533,2022,서울특별시 강남구 대치동,EV6,전기
88534,2022,서울특별시 강남구 대치동,EV6,전기
88535,2022,서울특별시 강남구 대치동,EV6,전기
88536,2022,서울특별시 강남구 대치동,EV6,전기
88537,2022,서울특별시 강남구 대치동,EV6,전기
88538,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88539,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88540,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88541,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88542,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88543,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88544,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88545,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88546,2022,서울특별시 강남구 대치동,EV6,전기
88547,2022,서울특별시 강남구 대치동,EV6,전기
88548,2022,서울특별시 강남구 대치동,EV6,전기
88549,2022,서울특별시 강남구 대치동,EV6,전기
88550,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88551,2022,서울특별시 강남구 대치동,GV60,전기
88552,2022,서울특별시 강남구 대치동,EV6,전기
88553,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88554,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88555,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88556,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88557,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88558,2022,서울특별시 강남구 대치동,GV60,전기
88559,2022,서울특별시 강남구 대치동,GV60,전기
88560,2022,서울특별시 강남구 대치동,GV60,전기
88561,2022,서울특별시 강남구 대치동,GV60,전기
88562,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88563,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88564,2022,서울특별시 강남구 대치동,아이오닉5 (IONIQ5),전기
88565,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88566,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88567,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88568,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88569,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88570,2022,서울특별시 강남구 대치동,아이오닉5(IONIQ5),전기
88571,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88572,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88573,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88574,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88575,2022,서울특별시 강남구 대치동,Model 3 Long Range,전기
88576,2022,서울특별시 강남구 대치동,EV6,전기
88577,2022,서울특별시 강남구 대치동,EV6,전기
